iter	Passed	Remaining
0	146	146316
1	147	73565
2	148	49398
3	149	37169
4	150	30019
5	152	25202
6	153	21812
7	154	19154
8	155	17078
9	155	15432
10	156	14075
11	181	14932
12	182	13863
13	183	12941
14	186	12232
15	187	11548
16	188	10918
17	189	10363
18	198	10229
19	199	9791
20	200	9353
21	201	8948
22	201	8576
23	202	8245
24	204	7970
25	205	7711
26	206	7442
27	207	7190
28	207	6955
29	208	6736
30	209	6538
31	210	6373
32	211	6197
33	212	6041
34	213	5879
35	213	5728
36	214	5586
37	215	5453
38	216	5332
39	217	5221
40	218	5107
41	219	5003
42	220	4901
43	222	4836
44	223	4748
45	224	4662
46	225	4578
47	227	4511
48	230	4466
49	232	4419
50	233	4345
51	234	4273
52	235	4212
53	236	4145
54	237	4078
55	238	4012
56	238	3948
57	239	3893
58	240	3843
59	241	3789
60	242	3735
61	243	3682
62	244	3631
63	245	3584
64	246	3539
65	247	3501
66	248	3458
67	249	3420
68	250	3377
69	251	3342
70	252	3305
71	253	3272
72	255	3239
73	255	3201
74	256	3164
75	257	3127
76	258	3093
77	258	3060
78	259	3029
79	261	3002
80	261	2970
81	262	2937
82	262	2903
83	263	2873
84	264	2845
85	265	2820
86	266	2792
87	267	2769
88	267	2742
89	268	2716
90	269	2690
91	270	2666
92	270	2642
93	271	2620
94	273	2601
95	273	2577
96	274	2554
97	275	2531
98	275	2509
99	276	2488
100	277	2472
101	278	2453
102	279	2434
103	280	2417
104	281	2397
105	281	2377
106	282	2359
107	284	2346
108	285	2330
109	286	2317
110	287	2300
111	287	2283
112	288	2266
113	289	2252
114	291	2241
115	292	2229
116	293	2211
117	293	2196
118	294	2181
119	295	2167
120	296	2153
121	297	2141
122	298	2129
123	299	2114
124	300	2100
125	301	2088
126	302	2076
127	302	2062
128	304	2053
129	304	2041
130	305	2027
131	306	2014
132	307	2002
133	308	1993
134	309	1982
135	310	1972
136	311	1959
137	311	1947
138	312	1934
139	313	1923
140	314	1916
141	315	1904
142	316	1894
143	316	1883
144	317	1873
145	318	1862
146	319	1852
147	320	1847
148	321	1838
149	323	1830
150	323	1821
151	324	1811
152	326	1806
153	327	1798
154	329	1793
155	329	1784
156	330	1775
157	331	1765
158	332	1760
159	334	1754
160	334	1743
161	335	1737
162	336	1727
163	337	1720
164	338	1714
165	340	1708
166	340	1700
167	341	1692
168	342	1683
169	343	1676
170	344	1672
171	346	1665
172	346	1658
173	347	1650
174	348	1642
175	350	1642
176	351	1635
177	352	1628
178	353	1621
179	354	1613
180	355	1606
181	356	1602
182	357	1595
183	358	1589
184	359	1582
185	360	1576
186	360	1569
187	361	1563
188	363	1558
189	363	1551
190	364	1545
191	365	1538
192	366	1532
193	367	1525
194	368	1519
195	369	1516
196	370	1510
197	371	1503
198	372	1497
199	372	1491
200	373	1486
201	375	1483
202	376	1477
203	377	1472
204	378	1469
205	379	1462
206	380	1457
207	381	1454
208	383	1452
209	384	1445
210	385	1439
211	386	1438
212	387	1433
213	389	1428
214	389	1423
215	390	1417
216	391	1411
217	391	1405
218	392	1400
219	394	1397
220	395	1393
221	396	1388
222	396	1382
223	397	1377
224	398	1372
225	399	1369
226	400	1365
227	401	1360
228	402	1355
229	403	1350
230	404	1345
231	405	1341
232	406	1337
233	407	1334
234	408	1329
235	408	1323
236	409	1318
237	410	1314
238	411	1310
239	412	1306
240	413	1303
241	414	1298
242	415	1293
243	416	1289
244	417	1285
245	418	1281
246	419	1278
247	420	1274
248	420	1269
249	421	1264
250	423	1263
251	424	1259
252	425	1256
253	426	1251
254	426	1246
255	427	1242
256	428	1239
257	430	1237
258	431	1234
259	432	1230
260	433	1226
261	433	1221
262	434	1218
263	436	1216
264	438	1215
265	438	1211
266	439	1206
267	440	1202
268	441	1199
269	443	1198
270	444	1195
271	445	1191
272	445	1187
273	446	1183
274	447	1179
275	448	1177
276	449	1173
277	450	1170
278	451	1166
279	451	1162
280	452	1158
281	453	1154
282	454	1152
283	455	1149
284	456	1145
285	457	1141
286	457	1137
287	458	1133
288	459	1130
289	461	1128
290	462	1126
291	463	1123
292	463	1119
293	464	1116
294	465	1112
295	467	1110
296	468	1108
297	469	1105
298	469	1101
299	470	1098
300	471	1094
301	472	1091
302	473	1089
303	474	1087
304	475	1083
305	476	1080
306	477	1076
307	477	1073
308	478	1070
309	479	1067
310	480	1064
311	481	1060
312	481	1057
313	482	1053
314	482	1050
315	483	1047
316	485	1045
317	486	1042
318	487	1040
319	488	1037
320	488	1033
321	489	1030
322	490	1027
323	491	1025
324	492	1023
325	493	1020
326	494	1016
327	494	1013
328	495	1010
329	496	1007
330	497	1005
331	498	1002
332	499	1000
333	500	997
334	500	993
335	501	990
336	502	987
337	503	985
338	503	982
339	504	979
340	505	976
341	506	973
342	506	970
343	507	967
344	508	965
345	509	963
346	510	961
347	512	959
348	512	956
349	513	953
350	514	950
351	515	948
352	516	945
353	517	943
354	517	940
355	518	937
356	518	934
357	519	931
358	520	929
359	521	927
360	522	924
361	523	922
362	524	919
363	525	917
364	525	914
365	526	912
366	527	910
367	528	907
368	529	905
369	530	902
370	530	900
371	531	897
372	532	894
373	534	894
374	535	891
375	535	889
376	536	886
377	537	884
378	538	881
379	538	879
380	541	880
381	542	877
382	543	875
383	544	873
384	544	870
385	545	868
386	546	866
387	547	864
388	548	861
389	549	859
390	550	856
391	550	854
392	551	851
393	552	849
394	553	847
395	553	844
396	554	842
397	555	839
398	555	837
399	556	834
400	557	832
401	557	829
402	558	827
403	559	825
404	560	823
405	561	821
406	561	818
407	562	816
408	563	813
409	563	811
410	564	808
411	565	806
412	566	804
413	566	802
414	567	799
415	568	797
416	568	795
417	569	792
418	570	790
419	570	788
420	571	786
421	572	784
422	573	782
423	573	779
424	574	777
425	575	775
426	575	772
427	576	770
428	577	768
429	578	766
430	578	764
431	579	761
432	580	759
433	580	757
434	581	755
435	582	752
436	582	750
437	583	749
438	584	747
439	585	744
440	585	742
441	586	740
442	587	738
443	587	736
444	588	733
445	589	731
446	590	730
447	590	728
448	591	726
449	592	723
450	592	721
451	593	719
452	594	717
453	594	715
454	595	713
455	596	711
456	597	709
457	598	707
458	598	705
459	599	703
460	600	701
461	600	699
462	601	697
463	602	695
464	603	693
465	603	692
466	604	690
467	605	687
468	605	685
469	606	683
470	607	681
471	607	679
472	608	678
473	609	676
474	610	674
475	610	672
476	611	670
477	612	668
478	612	666
479	613	664
480	614	662
481	614	660
482	615	658
483	616	657
484	616	655
485	617	653
486	618	651
487	619	649
488	619	647
489	620	645
490	621	643
491	621	641
492	622	640
493	623	638
494	623	636
495	624	634
496	625	632
497	625	630
498	626	629
499	627	627
500	628	625
501	628	623
502	629	621
503	630	620
504	630	618
505	631	616
506	632	614
507	632	612
508	633	610
509	634	609
510	634	607
511	635	605
512	636	604
513	636	602
514	637	600
515	638	598
516	638	596
517	639	595
518	640	593
519	641	592
520	642	590
521	642	588
522	643	586
523	643	584
524	644	583
525	645	581
526	645	579
527	646	578
528	647	576
529	648	575
530	649	573
531	649	571
532	650	569
533	651	568
534	652	567
535	653	565
536	654	564
537	655	562
538	655	560
539	656	559
540	657	557
541	659	556
542	660	555
543	660	553
544	661	552
545	662	550
546	662	548
547	663	547
548	664	546
549	666	545
550	667	543
551	667	541
552	668	540
553	669	538
554	669	537
555	670	535
556	672	534
557	672	532
558	673	531
559	674	529
560	674	528
561	675	526
562	676	524
563	676	523
564	677	521
565	678	520
566	679	518
567	679	517
568	680	515
569	681	513
570	681	512
571	682	510
572	683	509
573	684	508
574	685	506
575	685	504
576	686	503
577	687	501
578	687	500
579	688	498
580	690	498
581	691	496
582	691	494
583	692	493
584	693	491
585	693	490
586	694	488
587	695	487
588	696	485
589	697	484
590	697	482
591	698	481
592	699	479
593	699	478
594	700	476
595	701	475
596	701	473
597	702	472
598	703	470
599	704	469
600	704	467
601	705	466
602	706	464
603	706	463
604	707	461
605	709	461
606	709	459
607	710	458
608	711	456
609	711	455
610	712	453
611	713	452
612	713	450
613	714	449
614	715	447
615	716	446
616	716	444
617	717	443
618	717	441
619	718	440
620	719	438
621	719	437
622	720	436
623	721	434
624	722	433
625	722	431
626	723	430
627	724	429
628	724	427
629	725	426
630	726	424
631	742	432
632	742	430
633	743	429
634	744	427
635	744	426
636	745	424
637	745	423
638	746	421
639	747	420
640	748	418
641	748	417
642	749	415
643	749	414
644	750	413
645	751	411
646	751	410
647	752	408
648	752	407
649	753	405
650	754	404
651	754	402
652	755	401
653	756	400
654	756	398
655	757	397
656	757	395
657	758	394
658	759	392
659	760	391
660	760	390
661	761	388
662	762	387
663	762	385
664	763	384
665	763	383
666	764	381
667	765	380
668	766	379
669	766	377
670	767	376
671	768	374
672	768	373
673	769	372
674	770	370
675	770	369
676	771	368
677	772	366
678	773	365
679	773	364
680	774	362
681	774	361
682	775	359
683	776	358
684	776	357
685	777	355
686	778	354
687	779	353
688	779	351
689	780	350
690	781	349
691	781	347
692	782	346
693	782	345
694	783	343
695	784	342
696	785	341
697	786	340
698	786	338
699	787	337
700	788	336
701	789	335
702	791	334
703	792	333
704	792	331
705	793	330
706	794	329
707	794	327
708	795	326
709	796	325
710	797	324
711	798	322
712	799	321
713	799	320
714	800	319
715	801	317
716	801	316
717	802	315
718	804	314
719	804	312
720	805	311
721	806	310
722	806	309
723	807	307
724	807	306
725	808	305
726	809	303
727	810	302
728	811	301
729	811	300
730	812	298
731	813	297
732	813	296
733	814	295
734	814	293
735	815	292
736	816	291
737	817	290
738	818	289
739	819	287
740	819	286
741	820	285
742	821	284
743	822	283
744	823	281
745	824	280
746	825	279
747	826	278
748	826	277
749	827	275
750	828	274
751	829	273
752	830	272
753	831	271
754	832	270
755	832	268
756	833	267
757	834	266
758	835	265
759	836	264
760	837	262
761	837	261
762	838	260
763	858	265
764	860	264
765	862	263
766	863	262
767	864	261
768	866	260
769	868	259
770	869	258
771	870	257
772	871	255
773	872	254
774	873	253
775	874	252
776	875	251
777	876	249
778	876	248
779	877	247
780	878	246
781	879	245
782	880	243
783	881	242
784	881	241
785	882	240
786	885	239
787	887	238
788	887	237
789	888	236
790	889	234
791	890	233
792	891	232
793	892	231
794	894	230
795	895	229
796	896	228
797	899	227
798	900	226
799	901	225
800	902	224
801	903	222
802	904	221
803	904	220
804	906	219
805	907	218
806	907	217
807	908	215
808	910	214
809	911	213
810	911	212
811	912	211
812	913	210
813	914	208
814	915	207
815	916	206
816	917	205
817	917	204
818	918	203
819	919	201
820	920	200
821	920	199
822	922	198
823	923	197
824	924	196
825	924	194
826	925	193
827	926	192
828	926	191
829	928	190
830	929	189
831	930	187
832	931	186
833	932	185
834	932	184
835	933	183
836	934	182
837	936	180
838	937	179
839	937	178
840	938	177
841	941	176
842	942	175
843	943	174
844	943	173
845	944	171
846	945	170
847	946	169
848	947	168
849	948	167
850	949	166
851	949	164
852	950	163
853	951	162
854	952	161
855	952	160
856	953	159
857	954	158
858	955	156
859	956	155
860	956	154
861	957	153
862	958	152
863	958	150
864	959	149
865	960	148
866	961	147
867	962	146
868	962	145
869	963	143
870	964	142
871	966	141
872	967	140
873	968	139
874	969	138
875	970	137
876	971	136
877	973	135
878	974	134
879	974	132
880	975	131
881	976	130
882	976	129
883	977	128
884	978	127
885	979	126
886	980	124
887	981	123
888	981	122
889	982	121
890	983	120
891	984	119
892	985	118
893	986	116
894	987	115
895	987	114
896	988	113
897	989	112
898	990	111
899	991	110
900	992	109
901	993	107
902	994	106
903	994	105
904	995	104
905	996	103
906	997	102
907	999	101
908	999	100
909	1000	98
910	1001	97
911	1002	96
912	1003	95
913	1004	94
914	1004	93
915	1005	92
916	1006	91
917	1006	89
918	1007	88
919	1008	87
920	1009	86
921	1010	85
922	1011	84
923	1011	83
924	1012	82
925	1013	80
926	1014	79
927	1016	78
928	1016	77
929	1017	76
930	1018	75
931	1019	74
932	1020	73
933	1021	72
934	1023	71
935	1024	70
936	1025	68
937	1027	67
938	1028	66
939	1030	65
940	1030	64
941	1031	63
942	1032	62
943	1033	61
944	1035	60
945	1035	59
946	1036	58
947	1037	56
948	1040	55
949	1042	54
950	1044	53
951	1047	52
952	1048	51
953	1049	50
954	1052	49
955	1053	48
956	1056	47
957	1059	46
958	1061	45
959	1062	44
960	1067	43
961	1068	42
962	1070	41
963	1072	40
964	1073	38
965	1074	37
966	1076	36
967	1077	35
968	1078	34
969	1081	33
970	1083	32
971	1084	31
972	1086	30
973	1089	29
974	1091	27
975	1093	26
976	1094	25
977	1095	24
978	1097	23
979	1098	22
980	1099	21
981	1102	20
982	1103	19
983	1104	17
984	1105	16
985	1107	15
986	1110	14
987	1111	13
988	1112	12
989	1113	11
990	1115	10
991	1117	9
992	1119	7
993	1121	6
994	1122	5
995	1124	4
996	1125	3
997	1126	2
998	1127	1
999	1130	0
